ID,LATITUDE,LONGTITUDE,ELEVATION,NAME,
ASN00004048,-21.2853,118.4042,120,YANDEEARRA,
ASN00004049,-21.6,119.6,-999.9,SPLIT ROCK,
ASN00004050,-21.6,119.7,-999.9,YALGOORA,
ASN00004051,-20.6,117.8,-999.9,BALLA BALLA,
ASN00004052,-20.5667,120.65,-999.9,RPF 80 MILE,
ASN00004053,-20,119.4,-999.9,CONDON,
ASN00004054,-20.6783,117.1892,7,COSSACK,
ASN00004055,-21.1,117.8,-999.9,CROYDON,
ASN00004056,-21.1,118.5167,-999.9,KANGAN,
ASN00004057,-20.8833,119.15,120,LALLA ROOKH,
ASN00004058,-20.7,121.0167,-999.9,LOCHNAVAR,
ASN00004059,-20.8822,118.0308,40,MALLINA,
ASN00004060,-21.8,120.3,-999.9,MIDDLE CREEK,
ASN00004061,-21.1,117.9833,-999.9,MOUNT SATIRIST,
ASN00004062,-20.1,119.75,-999.9,MYADEE,
ASN00004063,-22.2,120.2,-999.9,POONDAWINDIE,
ASN00004064,-20.45,118.8,-999.9,POONDINIA,
ASN00004065,-22.7,121.1,-999.9,RPF 672 MILE,
ASN00004066,-21.2,121.2,-999.9,RPF 798 MILE,
ASN00004067,-20.55,119.3,-999.9,SHAW RIVER,
ASN00004068,-19.7789,120.6417,9,WALLAL DOWNS,
ASN00004069,-21.3,119.8,-999.9,WARRAWOONA,
ASN00004070,-20.9,119.7,-999.9,COONGAN HOTEL,
ASN00004071,-21.05,117.45,-999.9,PYRAMID 1,
ASN00004072,-20.4833,116.5333,7,ROSEMARY ISLAND,
ASN00004074,-20.3422,119.5206,45,GOLDSWORTHY,
ASN00004076,-21.175,117.2208,200,HARDING RIVER 2,
ASN00004077,-20.7167,120.85,-999.9,BARRAMINE,
ASN00004079,-21.3625,118.8783,223,YANDEE,
ASN00004080,-20.635,120.5,175,CALLAWA,
ASN00004081,-21.4333,119.7833,244,CORUNNA DOWNS AIRSTRIP,
ASN00004082,-20.615,117.1633,20,CAPE LAMBERT,
ASN00004083,-20.7097,116.7742,7,KARRATHA AERO,95307
ASN00004084,-20.4958,120.1672,164,SHAY GAP,
ASN00004085,-21.75,119.1833,-999.9,TAMBOURAH,
ASN00004086,-20.8956,117.6447,30,SHERLOCK,
ASN00004087,-21.2333,117.05,200,HARDING RIVER 3,
ASN00004088,-21.1467,119.4333,200,NORTH POLE,
ASN00004089,-20.6744,117.1428,10,WICKHAM,
